delta.rank	pval	level	nseqs	term	name	p.adj	goDivision
565	9.88436141366025e-7	6	324	GO:1902533	positive regulation of intracellular signal transduction	1.27982483043925e-5	BP
862	1.0200562964603e-6	2	135	GO:0000209	protein polyubiquitination	1.31317592187993e-5	BP
418	1.08563266191647e-6	2	612	GO:0015833	peptide transport	1.38960980725308e-5	BP
536	1.09974564001708e-6	3	359	GO:0043207;GO:0051707	response to other organism	1.39967626911265e-5	BP
701	1.16114214458725e-6	3	204	GO:0032535	regulation of cellular component size	1.46946802478838e-5	BP
626	1.26531909252539e-6	5	256	GO:0051046	regulation of secretion	1.59231166699824e-5	BP
743	1.29160391972363e-6	3	179	GO:0043410	positive regulation of MAPK cascade	1.6075219636831e-5	BP
927	1.29175872081678e-6	8	114	GO:0051403	stress-activated MAPK cascade	1.6075219636831e-5	BP
-1436	1.30585707960647e-6	2	47	GO:0000724;GO:0000725	double-strand break repair via homologous recombination	1.60925322795137e-5	BP
900	1.30751824771049e-6	4	121	GO:0002831	regulation of response to biotic stimulus	1.60925322795137e-5	BP
461	1.34088899899473e-6	2	486	GO:0022603	regulation of anatomical structure morphogenesis	1.64130675286787e-5	BP
-833	1.37582592307212e-6	4	141	GO:0071103	DNA conformation change	1.67491851504432e-5	BP
-618	1.40998402232181e-6	5	260	GO:0006820	anion transport	1.70722389729776e-5	BP
411	1.4401881800707e-6	3	621	GO:0023056	positive regulation of signaling	1.73442017384858e-5	BP
1346	1.47724560310103e-6	5	53	GO:0031348	negative regulation of defense response	1.76953484007824e-5	BP
746	1.53420825767899e-6	3	175	GO:0002697	regulation of immune effector process	1.82799281766007e-5	BP
555	1.65568406568072e-6	4	321	GO:0032101	regulation of response to external stimulus	1.96229222599196e-5	BP
381	1.78880777054823e-6	2	722	GO:0012501	programmed cell death	2.10363576407917e-5	BP
648	1.79372513812108e-6	4	231	GO:0051090	regulation of DNA-binding transcription factor activity	2.10363576407917e-5	BP
-614	1.88586591607322e-6	3	257	GO:0032787	monocarboxylic acid metabolic process	2.20017690208542e-5	BP
-901	1.91153744556418e-6	6	117	GO:1905039;GO:1903825	carboxylic acid transmembrane transport	2.2164626057743e-5	BP
1114	1.9196149353581e-6	3	76	GO:0042593	glucose homeostasis	2.2164626057743e-5	BP
404	1.93306466933006e-6	2	628	GO:0007568	aging	2.22054608169197e-5	BP
1330	1.98432597678879e-6	2	53	GO:0006900	vesicle budding from membrane	2.26780111633005e-5	BP
-1165	2.06899598685519e-6	3	69	GO:0051983	regulation of chromosome segregation	2.35256396474905e-5	BP
1223	2.29609167289444e-6	3	62	GO:0043624	cellular protein complex disassembly	2.59759866024421e-5	BP
1232	2.33395030802413e-6	8	61	GO:0002755	MyD88-dependent toll-like receptor signaling pathway	2.6271601457156e-5	BP
-1261	2.40242401931835e-6	5	58	GO:0033045	regulation of sister chromatid segregation	2.69071490163655e-5	BP
-1089	2.42275515256554e-6	5	78	GO:0000070	mitotic sister chromatid segregation	2.69998584166508e-5	BP
464	2.46284350923895e-6	2	453	GO:0051336	regulation of hydrolase activity	2.72769287664175e-5	BP
1370	2.47197166945659e-6	2	49	GO:0050777	negative regulation of immune response	2.72769287664175e-5	BP
-1030	2.50844187829079e-6	2	87	GO:0072330	monocarboxylic acid biosynthetic process	2.75436755263302e-5	BP
1086	2.56415268511724e-6	3	78	GO:2000134;GO:1902807	negative regulation of G1/S transition of mitotic cell cycle	2.80180586081103e-5	BP
1075	2.80860122714913e-6	2	79	GO:0033500	carbohydrate homeostasis	3.05401298486119e-5	BP
-828	2.83206983091291e-6	2	134	GO:0051260	protein homooligomerization	3.06465527596373e-5	BP
-1587	2.8471427811038e-6	2	36	GO:0006312	mitotic recombination	3.0661537642656303e-05	BP
-587	3.01082296670008e-6	1	271	GO:0044848	biological phase	3.22691073942975e-5	BP
-967	3.1550004477974e-6	3	97	GO:0061982	meiosis I cell cycle process	3.36533381098389e-5	BP
-1557	3.20492562263778e-6	3	37	GO:0000018	regulation of DNA recombination	3.40238549512257e-5	BP
-967	3.50330789942432e-6	3	96	GO:0006766	vitamin metabolic process	3.70160834656155e-5	BP
-1490	3.62981284196447e-6	6	40	GO:0010833	telomere maintenance via telomere lengthening	3.81726796525841e-5	BP
940	3.75597736484258e-6	5	101	GO:0043433	negative regulation of DNA-binding transcription factor activity	3.93149032581653e-5	BP
380	3.81668028503167e-6	2	672	GO:0006915	apoptotic process	3.97644829696323e-5	BP
783	3.91613257843487e-6	2	146	GO:0018996	molting cycle, collagen and cuticulin-based cuticle	4.06117452578431e-5	BP
-1658	3.96970460093894e-6	6	32	GO:0006284	base-excision repair	4.097759588066e-5	BP
702	4.04700953703004e-6	2	182	GO:0023014	signal transduction by protein phosphorylation	4.15839512061802e-5	BP
391	4.12960329931563e-6	5	627	GO:0042886	amide transport	4.21881679959803e-5	BP
1655	4.14348078531949e-6	7	32	GO:0030433;GO:0036503	ubiquitin-dependent ERAD pathway	4.21881679959803e-5	BP
718	4.29443884468255e-6	2	173	GO:0031396	regulation of protein ubiquitination	4.34841782625148e-5	BP
477	4.32137257035897e-6	3	406	GO:0043549	regulation of kinase activity	4.34841782625148e-5	BP
-1017	4.32900524667e-6	2	85	GO:0007127	meiosis I	4.34841782625148e-5	BP
541	4.51411411481689e-6	2	309	GO:0070848	response to growth factor	4.51411411481689e-5	BP
413	4.83800792081258e-6	4	548	GO:0006508	proteolysis	4.81650566338675e-5	BP
582	5.04246512786544e-6	3	263	GO:0043043	peptide biosynthetic process	4.99784154266309e-5	BP
-1264	5.0658606784716e-6	2	54	GO:0033047	regulation of mitotic sister chromatid segregation	4.99891097787506e-5	BP
565	5.22969294161307e-6	2	278	GO:0006605	protein targeting	5.1379439426374e-5	BP
1206	5.47220306109926e-6	8	59	GO:0034134	toll-like receptor 2 signaling pathway	5.35272264491805e-5	BP
-578	5.62066308929083e-6	2	264	GO:0022403	cell cycle phase	5.47403709565716e-5	BP
-706	6.57462288567431e-6	2	172	GO:0006732	coenzyme metabolic process	6.35401494986778e-5	BP
-1549	6.5809440552202e-6	2	35	GO:0031577	spindle checkpoint	6.35401494986778e-5	BP
579	6.69498634335307e-6	2	258	GO:0030155	regulation of cell adhesion	6.43638172064845e-5	BP
-648	6.89619475561423e-6	2	204	GO:0006790	sulfur compound metabolic process	6.60148557802388e-5	BP
-1005	7.14581176378844e-6	2	83	GO:0006323	DNA packaging	6.81132695782387e-5	BP
546	8.01003573973387e-6	2	287	GO:1901699	cellular response to nitrogen compound	7.59470694653482e-5	BP
678	8.03547118896764e-6	2	183	GO:1903320	regulation of protein modification by small protein conjugation or removal	7.59470694653482e-5	BP
-1596	9.00654417248221e-6	4	32	GO:0033046;GO:0051985	negative regulation of chromosome segregation	8.47674745645384e-5	BP
1080	9.35074637265689e-6	2	70	GO:0032088	negative regulation of NF-kappaB transcription factor activity	8.7042494304301e-5	BP
-1645	9.35671054250708e-6	6	30	GO:0032201	telomere maintenance via semi-conservative replication	8.7042494304301e-5	BP
1330	9.37779494622774e-6	2	46	GO:0006901	vesicle coating	8.7042494304301e-5	BP
438	9.40369804537538e-6	3	449	GO:0060341	regulation of cellular localization	8.7042494304301e-5	BP
-1161	1.00860018794831e-5	2	60	GO:2001251	negative regulation of chromosome organization	9.29738444857702e-5	BP
-796	1.01591649115098e-5	6	129	GO:0098656	anion transmembrane transport	9.32644647614014e-5	BP
-1609	1.04495725263284e-5	2	31	GO:0071173	spindle assembly checkpoint	9.55389488121454e-5	BP
-1224	1.21569308959411e-5	5	53	GO:0010965;GO:1905818	regulation of chromosome separation	1.10697256938651e-4	BP
858	1.27557140059618e-5	3	108	GO:0001819	positive regulation of cytokine production	1.15679349689694e-4	BP
732	1.58447585356821e-5	2	146	GO:0008361	regulation of cell size	1.43113948064225e-4	BP
359	1.65304853218056e-5	4	652	GO:0051049	regulation of transport	1.48707980404998e-4	BP
761	1.70721926124592e-5	2	134	GO:0046328	regulation of JNK cascade	1.52966845807634e-4	BP
-615	1.88266801516057e-5	2	205	GO:0007059	chromosome segregation	1.67960277609741e-4	BP
1376	1.89688823213236e-5	2	40	GO:0033619	membrane protein proteolysis	1.67960277609741e-4	BP
1154	1.89782403244826e-5	8	57	GO:0034130	toll-like receptor 1 signaling pathway	1.67960277609741e-4	BP
1115	1.9045495764676e-5	3	61	GO:0032675	regulation of interleukin-6 production	1.67960277609741e-4	BP
-948	2.08254298381472e-5	4	84	GO:0000819	sister chromatid segregation	1.8293710916647e-4	BP
-1506	2.09149537014041e-5	5	33	GO:0000722	telomere maintenance via recombination	1.83005844887286e-4	BP
580	2.15813811964471e-5	3	228	GO:0001558	regulation of cell growth	1.88102310817282e-4	BP
1012	2.22216956337819e-5	2	73	GO:0002819	regulation of adaptive immune response	1.92923074971506e-4	BP
553	2.23067305435804e-5	2	251	GO:1901652	response to peptide	1.92923074971506e-4	BP
1047	2.26074454255806e-5	2	68	GO:0051099	positive regulation of binding	1.94758890990769e-4	BP
1572	2.26928886377637e-5	2	30	GO:0032092	positive regulation of protein binding	1.94758890990769e-4	BP
-729	2.36880487096223e-5	2	141	GO:0015893	drug transport	2.02523775227305e-4	BP
875	2.45877870517063e-5	3	97	GO:2000045;GO:1902806	regulation of cell cycle G1/S phase transition	2.09416893520236e-4	BP
1334	2.69380397966864e-5	3	41	GO:0035419	activation of MAPK activity involved in innate immune response	2.28565186153703e-4	BP
-1557	2.74047456102051e-5	3	30	GO:0007094;GO:0045841;GO:1902100;GO:2000816;GO:0033048;GO:1905819	mitotic spindle assembly checkpoint	2.31647661007017e-4	BP
468	2.8244193538661e-5	2	347	GO:0030029	actin filament-based process	2.37845840325566e-4	BP
427	2.8371602084502e-5	3	420	GO:0051248	negative regulation of protein metabolic process	2.38023927600316e-4	BP
-972	2.87816609116944e-5	3	77	GO:0043648	dicarboxylic acid metabolic process	2.40563135978341e-4	BP
747	2.95560213750686e-5	5	131	GO:0000956	nuclear-transcribed mRNA catabolic process	2.46117055316556e-4	BP
