my_title,Run,treat,treatDescription,bleachGeneral,bleachSpecific,measurement,quote,title,notes,ref
L_Barshis_bleachResillience_PRJNA177515,SRR629133,control,44_c_MV,yes,none,none,At the onset of bleaching (after 72 h),,,(Barshis et al. 2013)
L_Barshis_bleachResillience_PRJNA177515,SRR629134,heat,44_h_MV,yes,none,none,At the onset of bleaching (after 72 h),,,(Barshis et al. 2013)
L_Barshis_bleachResillience_PRJNA177515,SRR629136,heat,45_h_MV,yes,none,none,At the onset of bleaching (after 72 h),,,(Barshis et al. 2013)
L_Barshis_bleachResillience_PRJNA177515,SRR629152,control,61_c_MV,yes,none,none,At the onset of bleaching (after 72 h),,,(Barshis et al. 2013)
L_Barshis_bleachResillience_PRJNA177515,SRR629153,heat,61_h_MV,yes,none,none,At the onset of bleaching (after 72 h),,,(Barshis et al. 2013)
L_Barshis_bleachResillience_PRJNA177515,SRR629154,control,65_c_MV,yes,none,none,At the onset of bleaching (after 72 h),,,(Barshis et al. 2013)
L_Barshis_bleachResillience_PRJNA177515,SRR629156,control,68_c_MV,yes,none,none,At the onset of bleaching (after 72 h),,,(Barshis et al. 2013)
L_Barshis_bleachResillience_PRJNA177515,SRR629157,heat,68_h_MV,yes,none,none,At the onset of bleaching (after 72 h),,,(Barshis et al. 2013)
L_Barshis_bleachResillience_PRJNA177515,SRR629158,control,70_c_MV,yes,none,none,At the onset of bleaching (after 72 h),,,(Barshis et al. 2013)
L_Barshis_bleachResillience_PRJNA177515,SRR629159,heat,70_h_MV,yes,none,none,At the onset of bleaching (after 72 h),,,(Barshis et al. 2013)
L_Barshis_bleachResillience_PRJNA177515,SRR629160,control,71_c_MV,yes,none,none,At the onset of bleaching (after 72 h),,,(Barshis et al. 2013)
L_Barshis_bleachResillience_PRJNA177515,SRR629161,heat,71_h_MV,yes,none,none,At the onset of bleaching (after 72 h),,,(Barshis et al. 2013)
M_moya_juvenilePh_PRJNA260269,SRR1566164,control,380 ppm CO2,none,none,none,none,none,,(Moya et al. 2014)
M_moya_juvenilePh_PRJNA260269,SRR1566165,control,380 ppm CO2,none,none,none,none,none,,(Moya et al. 2014)
M_moya_juvenilePh_PRJNA260269,SRR1566166,control,380 ppm CO2,none,none,none,none,none,,(Moya et al. 2014)
M_moya_juvenilePh_PRJNA260269,SRR1566168,low_pH,750 ppm CO2,none,none,none,none,none,,(Moya et al. 2014)
M_moya_juvenilePh_PRJNA260269,SRR1566167,low_pH,750 ppm CO2,none,none,none,none,none,,(Moya et al. 2014)
M_moya_juvenilePh_PRJNA260269,SRR1566169,low_pH,750 ppm CO2,none,none,none,none,none,,(Moya et al. 2014)
N_Hainan_U_heat_PRJNA308355,SRR3095777,control,Aa_Control,not stated,not stated,not stated,not stated,not stated,,(Zhou et al. 2017)
N_Hainan_U_heat_PRJNA308355,SRR3095778,control,Aa_Control,not stated,not stated,not stated,not stated,not stated,,(Zhou et al. 2017)
N_Hainan_U_heat_PRJNA308355,SRR3095779,heat,Aa_Heat,not stated,not stated,not stated,not stated,not stated,,(Zhou et al. 2017)
N_Hainan_U_heat_PRJNA308355,SRR3095780,heat,Aa_Heat,not stated,not stated,not stated,not stated,not stated,,(Zhou et al. 2017)
S_rachel_immune_PRJNA319662,SRR3622488,control,AC221,none,none,none,personal communication from Rachel,Intraspecific differences in molecular stress responses and coral pathobiome contribute to mortality under bacterial challenge in Acropora millepora,there was tissue loss though,(Wright et al. 2017)
S_rachel_immune_PRJNA319662,SRR3622490,control,AC261,none,none,none,personal communication from Rachel,Intraspecific differences in molecular stress responses and coral pathobiome contribute to mortality under bacterial challenge in Acropora millepora,there was tissue loss though,(Wright et al. 2017)
S_rachel_immune_PRJNA319662,SRR3622491,challenge,AD91,none,none,none,personal communication from Rachel,Intraspecific differences in molecular stress responses and coral pathobiome contribute to mortality under bacterial challenge in Acropora millepora,there was tissue loss though,(Wright et al. 2017)
S_rachel_immune_PRJNA319662,SRR3622493,challenge,AD92,none,none,none,personal communication from Rachel,Intraspecific differences in molecular stress responses and coral pathobiome contribute to mortality under bacterial challenge in Acropora millepora,there was tissue loss though,(Wright et al. 2017)
S_rachel_immune_PRJNA319662,SRR3622496,challenge,AD93,none,none,none,personal communication from Rachel,Intraspecific differences in molecular stress responses and coral pathobiome contribute to mortality under bacterial challenge in Acropora millepora,there was tissue loss though,(Wright et al. 2017)
S_rachel_immune_PRJNA319662,SRR3622499,challenge,AO221,none,none,none,personal communication from Rachel,Intraspecific differences in molecular stress responses and coral pathobiome contribute to mortality under bacterial challenge in Acropora millepora,there was tissue loss though,(Wright et al. 2017)
S_rachel_immune_PRJNA319662,SRR3622503,challenge,AO222,none,none,none,personal communication from Rachel,Intraspecific differences in molecular stress responses and coral pathobiome contribute to mortality under bacterial challenge in Acropora millepora,there was tissue loss though,(Wright et al. 2017)
S_rachel_immune_PRJNA319662,SRR3622506,challenge,AO223,none,none,none,personal communication from Rachel,Intraspecific differences in molecular stress responses and coral pathobiome contribute to mortality under bacterial challenge in Acropora millepora,there was tissue loss though,(Wright et al. 2017)
S_rachel_immune_PRJNA319662,SRR3622509,challenge,AO262,none,none,none,personal communication from Rachel,Intraspecific differences in molecular stress responses and coral pathobiome contribute to mortality under bacterial challenge in Acropora millepora,there was tissue loss though,(Wright et al. 2017)
S_rachel_immune_PRJNA319662,SRR3622512,control,AC262,none,none,none,personal communication from Rachel,Intraspecific differences in molecular stress responses and coral pathobiome contribute to mortality under bacterial challenge in Acropora millepora,there was tissue loss though,(Wright et al. 2017)
S_rachel_immune_PRJNA319662,SRR3622513,challenge,AO263,none,none,none,personal communication from Rachel,Intraspecific differences in molecular stress responses and coral pathobiome contribute to mortality under bacterial challenge in Acropora millepora,there was tissue loss though,(Wright et al. 2017)
S_rachel_immune_PRJNA319662,SRR3622516,challenge,AO273,none,none,none,personal communication from Rachel,Intraspecific differences in molecular stress responses and coral pathobiome contribute to mortality under bacterial challenge in Acropora millepora,there was tissue loss though,(Wright et al. 2017)
S_rachel_immune_PRJNA319662,SRR3622519,challenge,AO301,none,none,none,personal communication from Rachel,Intraspecific differences in molecular stress responses and coral pathobiome contribute to mortality under bacterial challenge in Acropora millepora,there was tissue loss though,(Wright et al. 2017)
S_rachel_immune_PRJNA319662,SRR3622522,challenge,AO302,none,none,none,personal communication from Rachel,Intraspecific differences in molecular stress responses and coral pathobiome contribute to mortality under bacterial challenge in Acropora millepora,there was tissue loss though,(Wright et al. 2017)
S_rachel_immune_PRJNA319662,SRR3622526,challenge,AO303,none,none,none,personal communication from Rachel,Intraspecific differences in molecular stress responses and coral pathobiome contribute to mortality under bacterial challenge in Acropora millepora,there was tissue loss though,(Wright et al. 2017)
S_rachel_immune_PRJNA319662,SRR3622529,challenge,AO41,none,none,none,personal communication from Rachel,Intraspecific differences in molecular stress responses and coral pathobiome contribute to mortality under bacterial challenge in Acropora millepora,there was tissue loss though,(Wright et al. 2017)
S_rachel_immune_PRJNA319662,SRR3622532,challenge,AO42,none,none,none,personal communication from Rachel,Intraspecific differences in molecular stress responses and coral pathobiome contribute to mortality under bacterial challenge in Acropora millepora,there was tissue loss though,(Wright et al. 2017)
S_rachel_immune_PRJNA319662,SRR3622536,challenge,AO43,none,none,none,personal communication from Rachel,Intraspecific differences in molecular stress responses and coral pathobiome contribute to mortality under bacterial challenge in Acropora millepora,there was tissue loss though,(Wright et al. 2017)
S_rachel_immune_PRJNA319662,SRR3622539,challenge,AO52,none,none,none,personal communication from Rachel,Intraspecific differences in molecular stress responses and coral pathobiome contribute to mortality under bacterial challenge in Acropora millepora,there was tissue loss though,(Wright et al. 2017)
S_rachel_immune_PRJNA319662,SRR3622542,challenge,AO53,none,none,none,personal communication from Rachel,Intraspecific differences in molecular stress responses and coral pathobiome contribute to mortality under bacterial challenge in Acropora millepora,there was tissue loss though,(Wright et al. 2017)
S_rachel_immune_PRJNA319662,SRR3622546,challenge,AO71,none,none,none,personal communication from Rachel,Intraspecific differences in molecular stress responses and coral pathobiome contribute to mortality under bacterial challenge in Acropora millepora,there was tissue loss though,(Wright et al. 2017)
S_rachel_immune_PRJNA319662,SRR3622545,control,AC272,none,none,none,personal communication from Rachel,Intraspecific differences in molecular stress responses and coral pathobiome contribute to mortality under bacterial challenge in Acropora millepora,there was tissue loss though,(Wright et al. 2017)
S_rachel_immune_PRJNA319662,SRR3622549,challenge,AO72,none,none,none,personal communication from Rachel,Intraspecific differences in molecular stress responses and coral pathobiome contribute to mortality under bacterial challenge in Acropora millepora,there was tissue loss though,(Wright et al. 2017)
S_rachel_immune_PRJNA319662,SRR3622553,challenge,AO73,none,none,none,personal communication from Rachel,Intraspecific differences in molecular stress responses and coral pathobiome contribute to mortality under bacterial challenge in Acropora millepora,there was tissue loss though,(Wright et al. 2017)
S_rachel_immune_PRJNA319662,SRR3622555,challenge,AO91,none,none,none,personal communication from Rachel,Intraspecific differences in molecular stress responses and coral pathobiome contribute to mortality under bacterial challenge in Acropora millepora,there was tissue loss though,(Wright et al. 2017)
S_rachel_immune_PRJNA319662,SRR3622559,challenge,AO93,none,none,none,personal communication from Rachel,Intraspecific differences in molecular stress responses and coral pathobiome contribute to mortality under bacterial challenge in Acropora millepora,there was tissue loss though,(Wright et al. 2017)
S_rachel_immune_PRJNA319662,SRR3622578,control,AC273,none,none,none,personal communication from Rachel,Intraspecific differences in molecular stress responses and coral pathobiome contribute to mortality under bacterial challenge in Acropora millepora,there was tissue loss though,(Wright et al. 2017)
S_rachel_immune_PRJNA319662,SRR3622588,control,NC221,none,none,none,personal communication from Rachel,Intraspecific differences in molecular stress responses and coral pathobiome contribute to mortality under bacterial challenge in Acropora millepora,there was tissue loss though,(Wright et al. 2017)
S_rachel_immune_PRJNA319662,SRR3622592,control,NC222,none,none,none,personal communication from Rachel,Intraspecific differences in molecular stress responses and coral pathobiome contribute to mortality under bacterial challenge in Acropora millepora,there was tissue loss though,(Wright et al. 2017)
S_rachel_immune_PRJNA319662,SRR3622595,control,NC223,none,none,none,personal communication from Rachel,Intraspecific differences in molecular stress responses and coral pathobiome contribute to mortality under bacterial challenge in Acropora millepora,there was tissue loss though,(Wright et al. 2017)
S_rachel_immune_PRJNA319662,SRR3622598,control,NC261,none,none,none,personal communication from Rachel,Intraspecific differences in molecular stress responses and coral pathobiome contribute to mortality under bacterial challenge in Acropora millepora,there was tissue loss though,(Wright et al. 2017)
S_rachel_immune_PRJNA319662,SRR3622603,control,NC262,none,none,none,personal communication from Rachel,Intraspecific differences in molecular stress responses and coral pathobiome contribute to mortality under bacterial challenge in Acropora millepora,there was tissue loss though,(Wright et al. 2017)
S_rachel_immune_PRJNA319662,SRR3622606,control,NC263,none,none,none,personal communication from Rachel,Intraspecific differences in molecular stress responses and coral pathobiome contribute to mortality under bacterial challenge in Acropora millepora,there was tissue loss though,(Wright et al. 2017)
S_rachel_immune_PRJNA319662,SRR3622609,control,NC271,none,none,none,personal communication from Rachel,Intraspecific differences in molecular stress responses and coral pathobiome contribute to mortality under bacterial challenge in Acropora millepora,there was tissue loss though,(Wright et al. 2017)
S_rachel_immune_PRJNA319662,SRR3622612,control,AC301,none,none,none,personal communication from Rachel,Intraspecific differences in molecular stress responses and coral pathobiome contribute to mortality under bacterial challenge in Acropora millepora,there was tissue loss though,(Wright et al. 2017)
S_rachel_immune_PRJNA319662,SRR3622613,control,NC272,none,none,none,personal communication from Rachel,Intraspecific differences in molecular stress responses and coral pathobiome contribute to mortality under bacterial challenge in Acropora millepora,there was tissue loss though,(Wright et al. 2017)
S_rachel_immune_PRJNA319662,SRR3622616,control,NC273,none,none,none,personal communication from Rachel,Intraspecific differences in molecular stress responses and coral pathobiome contribute to mortality under bacterial challenge in Acropora millepora,there was tissue loss though,(Wright et al. 2017)
S_rachel_immune_PRJNA319662,SRR3622619,control,NC301,none,none,none,personal communication from Rachel,Intraspecific differences in molecular stress responses and coral pathobiome contribute to mortality under bacterial challenge in Acropora millepora,there was tissue loss though,(Wright et al. 2017)
